Date : 2025-04-19 10:10:01
Directory : c:\.projects\flutter\mental_health_flutter
Total : 109 files,  17213 codes, 732 comments, 463 blanks, all 18408 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         10 |     12,676 |          0 |          9 |     12,685 |
| Dart       |         73 |      4,103 |        541 |        379 |      5,023 |
| XML        |         13 |        218 |         59 |         17 |        294 |
| Gradle     |          3 |         89 |         16 |         18 |        123 |
| YAML       |          3 |         74 |        114 |         21 |        209 |
| Markdown   |          2 |         25 |          0 |         10 |         35 |
| Swift      |          2 |         19 |          2 |          6 |         27 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |        109 |     17,213 |        732 |        463 |     18,408 |
| . (Files)                                                                                                                         |          5 |        118 |        114 |         30 |        262 |
| android                                                                                                                           |         16 |        271 |         73 |         35 |        379 |
| android (Files)                                                                                                                   |          3 |         41 |          2 |          9 |         52 |
| android\app                                                                                                                       |         12 |        225 |         71 |         25 |        321 |
| android\app (Files)                                                                                                               |          3 |         89 |         14 |         13 |        116 |
| android\app\src                                                                                                                   |          9 |        136 |         57 |         12 |        205 |
| android\app\src\debug                                                                                                             |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                                              |          7 |        130 |         49 |         10 |        189 |
| android\app\src\main (Files)                                                                                                      |          1 |         56 |         17 |          4 |         77 |
| android\app\src\main\res                                                                                                          |          6 |         74 |         32 |          6 |        112 |
| android\app\src\main\res\drawable                                                                                                 |          1 |         12 |          0 |          1 |         13 |
| android\app\src\main\res\drawable-v21                                                                                             |          1 |         12 |          0 |          1 |         13 |
| android\app\src\main\res\values                                                                                                   |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night                                                                                             |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night-v31                                                                                         |          1 |         12 |          7 |          1 |         20 |
| android\app\src\main\res\values-v31                                                                                               |          1 |         12 |          7 |          1 |         20 |
| android\app\src\profile                                                                                                           |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                                    |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                            |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                            |          4 |     12,436 |          0 |          4 |     12,440 |
| assets\animation                                                                                                                  |          1 |     12,323 |          0 |          0 |     12,323 |
| assets\images                                                                                                                     |          1 |          1 |          0 |          0 |          1 |
| assets\translations                                                                                                               |          2 |        112 |          0 |          4 |        116 |
| ios                                                                                                                               |         11 |        285 |          4 |         15 |        304 |
| ios\Runner                                                                                                                        |         10 |        278 |          2 |         11 |        291 |
| ios\Runner (Files)                                                                                                                |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                                   |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                                        |          6 |        193 |          0 |          6 |        199 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                     |          2 |        123 |          0 |          1 |        124 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset (Files)                                                                             |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset\AppIcon.appiconset                                                                  |          1 |          1 |          0 |          0 |          1 |
| ios\Runner\Assets.xcassets\BrandingImage.imageset                                                                                 |          1 |         23 |          0 |          1 |         24 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                                                                              |          1 |         21 |          0 |          1 |         22 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                   |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                             |          2 |         72 |          2 |          2 |         76 |
| lib                                                                                                                               |         72 |      4,089 |        531 |        372 |      4,992 |
